구분,죄종,발생검거,건수
강남,살인,발생,7
강남,살인,검거,7
강남,강도,발생,20
강남,강도,검거,24
강남,강간,발생,607
강남,강간,검거,496
강남,절도,발생,3130
강남,절도,검거,1383
강남,폭력,발생,3956
강남,폭력,검거,3411
강동,살인,발생,5
강동,살인,검거,6
강동,강도,발생,10
강동,강도,검거,12
강동,강간,발생,172
강동,강간,검거,169
강동,절도,발생,1645
강동,절도,검거,949
강동,폭력,발생,2429
강동,폭력,검거,2109
강북,살인,발생,8
강북,살인,검거,8
강북,강도,발생,7
강북,강도,검거,5
강북,강간,발생,208
강북,강간,검거,153
강북,절도,발생,1014
강북,절도,검거,635
강북,폭력,발생,2156
강북,폭력,검거,2023
강서,살인,발생,11
강서,살인,검거,11
강서,강도,발생,4
강서,강도,검거,6
강서,강간,발생,316
강서,강간,검거,253
강서,절도,발생,1888
강서,절도,검거,1113
강서,폭력,발생,2916
강서,폭력,검거,2544
관악,살인,발생,8
관악,살인,검거,7
관악,강도,발생,7
관악,강도,검거,6
관악,강간,발생,379
관악,강간,검거,323
관악,절도,발생,1979
관악,절도,검거,1152
관악,폭력,발생,3152
관악,폭력,검거,2666
광진,살인,발생,6
광진,살인,검거,5
광진,강도,발생,13
광진,강도,검거,8
광진,강간,발생,261
광진,강간,검거,208
광진,절도,발생,2220
광진,절도,검거,1168
광진,폭력,발생,2146
광진,폭력,검거,1900
구로,살인,발생,7
구로,살인,검거,8
구로,강도,발생,8
구로,강도,검거,6
구로,강간,발생,328
구로,강간,검거,181
구로,절도,발생,1725
구로,절도,검거,869
구로,폭력,발생,2827
구로,폭력,검거,2344
금천,살인,발생,5
금천,살인,검거,5
금천,강도,발생,5
금천,강도,검거,5
금천,강간,발생,240
금천,강간,검거,212
금천,절도,발생,1141
금천,절도,검거,674
금천,폭력,발생,1874
금천,폭력,검거,1676
노원,살인,발생,4
노원,살인,검거,4
노원,강도,발생,9
노원,강도,검거,7
노원,강간,발생,180
노원,강간,검거,155
노원,절도,발생,1538
노원,절도,검거,757
노원,폭력,발생,2478
노원,폭력,검거,2124
도봉,살인,발생,1
도봉,살인,검거,1
도봉,강도,발생,3
도봉,강도,검거,3
도봉,강간,발생,104
도봉,강간,검거,115
도봉,절도,발생,633
도봉,절도,검거,417
도봉,폭력,발생,1258
도봉,폭력,검거,1116
동대문,살인,발생,11
동대문,살인,검거,10
동대문,강도,발생,3
동대문,강도,검거,5
동대문,강간,발생,165
동대문,강간,검거,149
동대문,절도,발생,1547
동대문,절도,검거,1017
동대문,폭력,발생,2249
동대문,폭력,검거,2093
동작,살인,발생,1
동작,살인,검거,1
동작,강도,발생,7
동작,강도,검거,9
동작,강간,발생,396
동작,강간,검거,173
동작,절도,발생,1226
동작,절도,검거,593
동작,폭력,발생,1700
동작,폭력,검거,1466
마포,살인,발생,3
마포,살인,검거,3
마포,강도,발생,8
마포,강도,검거,8
마포,강간,발생,500
마포,강간,검거,429
마포,절도,발생,2094
마포,절도,검거,837
마포,폭력,발생,2673
마포,폭력,검거,2222
서대문,살인,발생,4
서대문,살인,검거,4
서대문,강도,발생,1
서대문,강도,검거,2
서대문,강간,발생,202
서대문,강간,검거,181
서대문,절도,발생,1230
서대문,절도,검거,719
서대문,폭력,발생,1676
서대문,폭력,검거,1393
서초,살인,발생,9
서초,살인,검거,10
서초,강도,발생,13
서초,강도,검거,7
서초,강간,발생,470
서초,강간,검거,283
서초,절도,발생,1812
서초,절도,검거,835
서초,폭력,발생,2404
서초,폭력,검거,2102
성동,살인,발생,1
성동,살인,검거,1
성동,강도,발생,3
성동,강도,검거,3
성동,강간,발생,132
성동,강간,검거,106
성동,절도,발생,1072
성동,절도,검거,543
성동,폭력,발생,1559
성동,폭력,검거,1378
성북,살인,발생,7
성북,살인,검거,7
성북,강도,발생,8
성북,강도,검거,8
성북,강간,발생,173
성북,강간,검거,134
성북,절도,발생,1344
성북,절도,검거,703
성북,폭력,발생,1902
성북,폭력,검거,1627
송파,살인,발생,6
송파,살인,검거,6
송파,강도,발생,1
송파,강도,검거,3
송파,강간,발생,288
송파,강간,검거,242
송파,절도,발생,2274
송파,절도,검거,1026
송파,폭력,발생,3007
송파,폭력,검거,2593
양천,살인,발생,3
양천,살인,검거,2
양천,강도,발생,3
양천,강도,검거,2
양천,강간,발생,138
양천,강간,검거,122
양천,절도,발생,1590
양천,절도,검거,756
양천,폭력,발생,2148
양천,폭력,검거,1778
영등포,살인,발생,15
영등포,살인,검거,13
영등포,강도,발생,5
영등포,강도,검거,5
영등포,강간,발생,455
영등포,강간,검거,267
영등포,절도,발생,2304
영등포,절도,검거,1108
영등포,폭력,발생,3190
영등포,폭력,검거,2619
용산,살인,발생,1
용산,살인,검거,1
용산,강도,발생,5
용산,강도,검거,4
용산,강간,발생,327
용산,강간,검거,289
용산,절도,발생,1346
용산,절도,검거,626
용산,폭력,발생,2381
용산,폭력,검거,2016
은평,살인,발생,6
은평,살인,검거,6
은평,강도,발생,4
은평,강도,검거,4
은평,강간,발생,230
은평,강간,검거,213
은평,절도,발생,1387
은평,절도,검거,934
은평,폭력,발생,2256
은평,폭력,검거,2050
혜화,살인,발생,7
혜화,살인,검거,5
혜화,강도,발생,10
혜화,강도,검거,8
혜화,강간,발생,253
혜화,강간,검거,173
혜화,절도,발생,1644
혜화,절도,검거,658
혜화,폭력,발생,2143
혜화,폭력,검거,1837
중부,살인,발생,1
중부,살인,검거,0
중부,강도,발생,9
중부,강도,검거,9
중부,강간,발생,267
중부,강간,검거,149
중부,절도,발생,1846
중부,절도,검거,889
중부,폭력,발생,2061
중부,폭력,검거,1804
중랑,살인,발생,5
중랑,살인,검거,5
중랑,강도,발생,3
중랑,강도,검거,4
중랑,강간,발생,172
중랑,강간,검거,144
중랑,절도,발생,1533
중랑,절도,검거,813
중랑,폭력,발생,2858
중랑,폭력,검거,2426
